Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure
04/08/2020,06/08/2020,06/25/2020,Adventist Health Tehachapi Valley,Tehachapi,Kern County,1,Layoff Permanent
04/14/2020,04/13/2020,06/25/2020,Centric Brands Inc.,Los Angeles,Los Angeles County,31,Layoff Temporary
06/16/2020,08/21/2020,06/25/2020,"GEP Administrative Services, Inc. dbaEntertainment Partners",Burbank,Los Angeles County,30,Layoff Temporary
06/15/2020,06/30/2020,06/25/2020,AEG LA Youth Soccer Academy LLC,Carson,Los Angeles County,3,Layoff Temporary
06/22/2020,06/22/2020,06/25/2020,Hyatt Regency Lomg Beach,Long Beach,Los Angeles County,35,Layoff Permanent
06/11/2020,06/11/2020,06/25/2020,"Waddington North America, Inc.",City of Industry,Los Angeles County,70,Layoff Permanent
06/09/2020,06/07/2020,06/25/2020,Bay Club Pacific Palisades,Pacific Palisades,Los Angeles County,67,Layoff Permanent
06/09/2020,06/07/2020,06/25/2020,Bay Club Marin,Corte Madera,Marin County,142,Layoff Permanent
04/11/2020,04/14/2020,06/25/2020,AIO Acquisition Inc.,Ontario,San Bernardino County,2,Layoff Permanent
06/18/2020,06/29/2020,06/25/2020,Hartwell Corporation,Rancho Cucamonga,San Bernardino County,57,Layoff Temporary
06/22/2020,06/18/2020,06/25/2020,Hyatt Corporation dba Hyatt Regency La Jolla,San Diego,San Diego County,126,Layoff Permanent
06/12/2020,06/12/2020,06/25/2020,GKN Aerospace Chem-tronics Inc.,El Cajon,San Diego County,77,Layoff Permanent
05/14/2020,05/15/2020,06/25/2020,"Carey Dispatch Services, Inc.",South San Francisco,San Mateo County,15,Layoff Permanent
06/22/2020,08/21/2020,06/25/2020,Intuit Inc.,Mountain View,Santa Clara County,189,Layoff Permanent
06/18/2020,07/01/2020,06/25/2020,Bon App&eacute;tit,Sunnyvale,Santa Clara County,261,Layoff Permanent
06/16/2020,08/21/2020,06/25/2020,Elyxir Distributing LLC,Watsonville,Santa Cruz County,113,Closure Permanent
06/15/2020,08/18/2020,06/25/2020,"Renaissance Hotel Mgmt Co, LLC dba TheLodge at Sonoma",Sonoma,Sonoma County,157,Layoff Permanent
06/19/2020,08/22/2020,06/25/2020,"Raiders Football Club, LLC",Alameda,Alameda County,492,Closure Permanent
06/04/2020,03/20/2020,06/25/2020,FreshPoint Southern California Inc.,La Puente,Los Angeles County,152,Layoff Permanent
06/16/2020,05/08/2020,06/25/2020,Universal Content Productions LLC,Universal City,Los Angeles County,46,Layoff Permanent
06/16/2020,05/08/2020,06/25/2020,Universal Television LLC,Studio City,Los Angeles County,5,Layoff Permanent
06/16/2020,05/08/2020,06/25/2020,Universal Television LLC,Universal City,Los Angeles County,50,Layoff Temporary
06/16/2020,06/12/2020,06/25/2020,Pasadena Symphony Association,Pasadena,Los Angeles County,68,Layoff Temporary
06/16/2020,08/17/2020,06/25/2020,Orora Visual LLC.,Los Angeles,Los Angeles County,32,Layoff Permanent
06/11/2020,06/12/2020,06/25/2020,SAN DIEGO CONVENTION CENTERCORPORATION,San Diego,San Diego County,23,Layoff Permanent
06/19/2020,06/21/2020,06/25/2020,HomeState Hospitalities LLC dba HomeState,Los Angeles,Los Angeles County,13,Closure Unknown at thistime
04/13/2020,04/13/2020,06/25/2020,"Pacific Dental Services, LLC",Irvine,Orange County,94,Layoff Temporary
06/15/2020,08/21/2020,06/25/2020,"Decore-ative Specialties, Inc.",Elk Grove,Sacramento County,133,Closure Permanent
05/27/2020,04/23/2020,06/25/2020,"Spectrum Assembly, Inc.",Carlsbad,San Diego County,82,Layoff Temporary
06/15/2020,06/30/2020,06/25/2020,Sodexo dba Artisan Restaurant Collection atLinkedIn,San Francisco,San Francisco County,52,Layoff Permanent
06/16/2020,08/31/2020,06/25/2020,Central Valley Training Center - Another WayProgram,Stockton,San Joaquin County,18,Layoff Permanent
06/15/2020,06/15/2020,06/25/2020,All About Parking,Palo Alto,Santa Clara County,23,Layoff Permanent
06/15/2020,06/15/2020,06/25/2020,All About Parking,San Jose,Santa Clara County,11,Layoff Permanent
04/03/2020,04/04/2020,06/25/2020,Club Demonstration Services,Oxnard,Ventura County,132,Layoff Unknown at thistime
04/03/2020,04/04/2020,06/25/2020,"Club Demonstration Services, Inc.",Woodland,Yolo County,26,Layoff Unknown at thistime
06/09/2020,06/07/2020,06/24/2020,Bay Club Fremont,Fremont,Alameda County,197,Layoff Permanent
03/31/2020,03/31/2020,06/24/2020,"La Verne Fitness, LLC",La Verne,Los Angeles County,57,Layoff Temporary
03/31/2020,03/31/2020,06/24/2020,"Lakewood Fitness, LLC",Lakewood,Los Angeles County,89,Layoff Temporary
03/31/2020,03/31/2020,06/24/2020,Lancaster Fitness LLC,Lancaster,Los Angeles County,38,Layoff Temporary
03/31/2020,03/31/2020,06/24/2020,Long Beach Fitness LLC,Long Beach,Los Angeles County,87,Layoff Temporary
03/31/2020,03/31/2020,06/24/2020,San Dimas Fitness LLC,San Dimas,Los Angeles County,53,Layoff Temporary
03/31/2020,03/31/2020,06/24/2020,"Van Nuys Fitness, LLC",Van Nuys,Los Angeles County,40,Layoff Temporary
06/09/2020,06/07/2020,06/24/2020,Manhattan Country Club,Manhattan Beach,Los Angeles County,167,Layoff Permanent
