Notice_Date,Effective_Date,Received_Date,Company,City,County,No_employees,Layoff/Closure
04/23/2020,04/24/2020,09/01/2020,"Lulu's Fashion Lounge, LLC",Chico,Butte County ,78,Layoff Permanent
05/01/2020,05/01/2020,09/01/2020,Brentwood Originals,Carson,Los Angeles County ,16,Layoff Temporary
03/20/2020,03/21/2020,09/01/2020,Elite Car Rental Services,Newport Beach,Orange County ,275,Layoff Temporary
08/24/2020,08/20/2020,09/01/2020,"Hornblower Cruises & Events, LLC",San Diego,San Diego County ,65,Layoff Permanent
04/02/2020,04/02/2020,09/01/2020,InterContinental San Francisco,San Francisco,San Francisco County ,294,Layoff Unknown at this time
03/20/2020,03/22/2020,09/01/2020,Go Rentals,San Jose,Santa Clara County ,5,Layoff Temporary
04/20/2020,04/20/2020,08/31/2020,Mercury Air Cargo,Los Angeles,Los Angeles County ,256,Layoff Permanent
06/15/2020,07/31/2020,08/31/2020,Safran Seats,Santa Maria,Santa Barbara County ,103,Closure Permanent
08/24/2020,09/30/2020,08/31/2020,Viad Corp,Chula Vista,San Diego County ,34,Layoff Unknown at this time
08/20/2020,08/20/2020,08/31/2020,"Hornblower Cable Cars, Inc",San Francisco,San Francisco County ,41,Layoff Permanent
08/20/2020,08/20/2020,08/31/2020,Hornblower Cruises & Events LLC,San Francisco,San Francisco County ,139,Layoff Permanent
04/13/2020,04/15/2020,08/31/2020,"Kendal Floral Supply, LLC",Gilroy,Santa Clara County ,68,Layoff Temporary
04/27/2020,06/01/2020,08/31/2020,Silver Star Auto Group,Thousand Oaks,Ventura County ,228,Layoff Permanent
04/03/2020,04/05/2020,08/28/2020,Madame Tussads Hollywood LLC,Los Angeles,Los Angeles County ,62,Layoff Temporary
04/16/2020,03/14/2020,08/28/2020,Transform SR LLC - 06721,Torrance,Los Angeles County ,24,Layoff Temporary
07/02/2020,07/10/2020,08/28/2020,Blackstone Gaming LLC operations at Crystal Casino,Compton,Los Angeles County ,86,Layoff Temporary
07/02/2020,07/10/2020,08/28/2020,Blackstone Gaming operations at Hustler Casino,Gardena,Los Angeles County ,93,Layoff Temporary
06/26/2020,07/06/2020,08/28/2020,"Safran Electronics & Defense, Avionics USA, LLC",Costa Mesa,Orange County ,43,Layoff Temporary
04/16/2020,03/14/2020,08/28/2020,Transform SR LLC - 06178,Sacramento,Sacramento County ,5,Layoff Temporary
07/02/2020,07/10/2020,08/28/2020,Blackstone Gaming LLC operations at Ocean's Eleven Casino,Oceanside,San Diego County ,30,Layoff Temporary
04/03/2020,04/05/2020,08/28/2020,Madame Tussauds San Francisco LLC,San Francisco,San Francisco County ,34,Layoff Temporary
04/16/2020,03/14/2020,08/28/2020,Transform SR LLC - 06791,Stockton,San Joaquin County ,10,Layoff Temporary
04/21/2020,04/23/2020,08/27/2020,Hexcel,Dublin,Alameda County ,25,Layoff Permanent
08/25/2020,10/30/2020,08/27/2020,salesforcecom inc,San Francisco,San Francisco County ,165,Layoff Permanent
08/26/2020,09/09/2020,08/27/2020,Pac-12 Enterprises d/b/a Pac-12 Networks,San Francisco,San Francisco County ,95,Layoff Permanent
04/08/2020,04/06/2020,08/27/2020,Center Theatre Group,Los Angeles,Los Angeles County ,295,Layoff Temporary
08/25/2020,10/26/2020,08/27/2020,"Garden Grove, LLC dba Garden Grove Hospital medical Center",Garden Grove,Orange County ,64,Layoff Permanent
03/20/2020,03/18/2020,08/27/2020,"D. Longo, LLC dba: Longo Toyota",El Monte,Los Angeles County ,440,Layoff Temporary
04/06/2020,03/17/2020,08/27/2020,"Waldorf Astoria Employer LLC, dba Waldorf Astoria Beverly Hills",Beverly Hills,Los Angeles County ,388,Layoff Temporary
07/28/2020,07/20/2020,08/27/2020,Hilton San Diego / Del Mar,Del Mar,San Diego County ,60,Layoff Permanent
04/10/2020,06/30/2020,08/27/2020,Golden Gate National Parks Conservancy,San Francisco,San Francisco County ,215,Layoff Temporary
04/27/2020,04/28/2020,08/26/2020,AIO Acquisition Inc.,Ontario,San Bernardino County ,11,Layoff Temporary
03/23/2020,03/19/2020,08/26/2020,Holiday Inn San Francisco Golden Gateway,San Francisco,San Francisco County ,181,Layoff Temporary
03/16/2020,03/16/2020,08/26/2020,"Hakkasan Holdings, LLC",San Francisco,San Francisco County ,108,Closure Permanent
07/17/2020,07/19/2020,08/26/2020,"Universal City Studios, LLC dba Universal Studios Hollywood (USH)",Universal City,Los Angeles County ,108,Layoff Temporary
03/27/2020,03/17/2020,08/26/2020,Novo Construction Inc.,San Francisco,San Francisco County ,83,Layoff Unknown at this time
05/03/2020,04/30/2020,08/26/2020,"MV Transportation, Inc.",Valencia,Los Angeles County ,53,Layoff Temporary
05/06/2020,04/01/2020,08/26/2020,Rancho Valencia Resort & Spa (RVR),Rancho Santa Fe,San Diego County ,357,Closure Unknown at this time
08/24/2020,08/23/2020,08/25/2020,"Wencor Group, LLC Fortner Engineering & Manufacturing, Inc.",Glendale,Los Angeles County ,22,Layoff Temporary
